contract_id,bruto_premie,netto_premie,lasten,kosten,splitsingskosten,kwijtingkosten,commissie,totaal_te_betalen
39512337,1173.13,940.25,232.88,0.00,0.00,0.00,152.34,1173.13
39512658,399.14,345.99,53.15,0.00,0.00,0.00,91.73,399.14
39512898,536.25,428.61,107.64,0.00,0.00,0.00,74.31,536.25
39514679,628.73,511.96,116.77,0.00,0.00,0.00,92.88,628.73
39515517,572.58,469.75,102.83,0.00,0.00,0.00,81.36,572.58
39515592,1408.43,1093.38,293.19,21.86,21.86,0.00,187.32,1408.43
39515595,1654.33,1297.10,331.29,25.94,25.94,0.00,221.95,1654.33
39515817,1275.20,1114.58,160.62,0.00,0.00,0.00,118.63,1275.20
39516633,795.78,630.98,164.80,0.00,0.00,0.00,74.80,795.78
39517017,299.64,275.92,3.04,20.68,0.00,0.00,30.20,0.00
39517068,1591.25,1222.61,270.83,97.81,97.81,0.00,176.18,1591.25
39517275,416.67,395.12,17.56,3.99,0.00,0.00,19.96,0.00
39517716,499.60,377.52,99.42,22.66,22.66,0.00,47.35,499.60
39518477,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00
39518580,250.00,237.07,10.54,2.39,0.00,0.00,11.97,0.00
39518583,250.00,237.07,10.54,2.39,0.00,0.00,11.97,0.00
39519225,250.00,237.07,10.54,2.39,0.00,0.00,11.97,0.00
39519834,1648.36,1277.46,294.25,76.65,76.65,0.00,176.42,1648.36
39522413,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39522419,401.82,347.14,54.68,0.00,0.00,0.00,92.51,401.82
39524211,1382.06,1108.39,273.67,0.00,0.00,0.00,189.87,1382.06
39524310,229.78,184.20,45.58,0.00,0.00,0.00,32.57,229.78
39524565,21481.68,20856.00,625.68,0.00,0.00,0.00,1564.20,21481.68
39525357,950.86,754.07,196.79,0.00,0.00,0.00,134.03,950.86
39525576,502.28,394.08,100.32,7.88,7.88,0.00,68.43,502.28
39525585,0.00,0.00,0.00,0.00,0.00,0.00,201.00,0.00
39525759,1151.33,892.61,205.17,53.55,53.55,0.00,125.02,1151.33
39529202,110.14,95.15,14.99,0.00,0.00,0.00,24.33,110.14
39529208,85.00,77.81,7.19,0.00,0.00,0.00,16.71,85.00
39529211,832.41,671.76,160.65,0.00,0.00,0.00,119.62,832.41
39529214,1377.87,1090.52,287.35,0.00,0.00,0.00,204.20,1377.87
39529217,826.53,656.64,169.89,0.00,0.00,0.00,114.77,826.53
39529443,782.16,621.91,160.25,0.00,0.00,0.00,112.15,782.16
39529487,726.30,664.83,61.47,0.00,0.00,0.00,132.96,726.30
39530439,1151.71,918.27,233.44,0.00,0.00,0.00,162.06,1151.71
39531693,987.01,853.88,133.13,0.00,0.00,0.00,228.88,987.01
39532440,1103.28,906.17,197.11,0.00,0.00,0.00,126.16,1103.28
39532998,1326.14,1049.17,276.97,0.00,0.00,0.00,184.03,1326.14
39533046,168.84,123.91,35.02,9.91,9.91,0.00,21.25,168.84
39533202,1003.23,795.27,207.96,0.00,0.00,0.00,141.04,1003.23
39533535,855.08,686.78,168.30,0.00,0.00,0.00,122.95,855.08
39534462,665.01,608.70,56.31,0.00,0.00,0.00,121.74,665.01
39535332,931.00,722.90,164.73,43.37,43.37,0.00,125.33,931.00
39535416,630.12,501.72,128.40,0.00,0.00,0.00,91.13,630.12
39535545,168.17,146.54,21.63,0.00,0.00,0.00,38.75,168.17
39535608,111.46,102.02,9.44,0.00,0.00,0.00,22.96,111.46
39537150,109.00,99.77,9.23,0.00,0.00,0.00,21.65,109.00
39537207,755.39,610.37,145.02,0.00,0.00,0.00,78.42,755.39
39538017,200.26,173.02,27.24,0.00,0.00,0.00,37.70,200.26
39540036,932.58,799.71,132.87,0.00,0.00,0.00,125.61,932.58
39541473,389.72,336.70,53.02,0.00,0.00,0.00,89.63,389.72
39541529,110.00,100.69,9.31,0.00,0.00,0.00,21.86,110.00
39541923,1339.97,1228.60,111.37,0.00,0.00,0.00,167.87,1339.97
39554295,598.86,477.38,121.48,0.00,0.00,0.00,44.39,598.86
39554561,2445.21,2009.38,435.83,0.00,0.00,0.00,297.83,2445.21
39555977,1653.99,1320.34,333.65,0.00,0.00,0.00,246.35,1653.99
39555990,1097.42,908.26,189.16,0.00,0.00,0.00,131.11,1097.42
39556167,978.24,789.27,188.97,0.00,0.00,0.00,141.77,978.24
39559527,111.46,102.02,9.44,0.00,0.00,0.00,22.96,111.46
39561024,390.24,319.51,70.73,0.00,0.00,0.00,54.68,390.24
39563568,110.00,100.69,9.31,0.00,0.00,0.00,21.86,110.00
39563574,188.93,163.21,25.72,0.00,0.00,0.00,42.93,188.93
39564426,1127.71,857.29,218.98,51.44,51.44,0.00,147.29,1127.71
39564443,4454.60,4212.40,242.20,0.00,0.00,0.00,493.76,4454.60
39565285,2911.50,2305.60,605.90,0.00,0.00,0.00,408.96,2911.50
39565328,134.72,111.05,23.67,0.00,0.00,0.00,15.89,134.72
39565471,151.34,138.53,12.81,0.00,0.00,0.00,27.71,151.34
39565532,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00
39565780,2302.59,1900.04,402.55,0.00,0.00,0.00,341.69,2302.59
39567282,599.53,476.72,122.81,0.00,0.00,0.00,78.74,599.53
39567399,1037.67,775.84,199.75,62.08,62.08,0.00,138.25,1037.67
39567858,107.57,91.61,15.96,0.00,0.00,0.00,16.90,107.57
39568388,1381.33,1106.35,274.98,0.00,0.00,0.00,189.59,1381.33
39568938,1559.72,1212.78,310.55,36.39,36.39,0.00,226.80,1559.72
39569451,3021.40,2933.40,88.00,0.00,0.00,0.00,220.01,3021.40
39570191,2524.34,2002.85,521.49,0.00,0.00,0.00,185.24,2524.34
39571622,1027.71,940.70,87.01,0.00,0.00,0.00,188.14,1027.71
39571868,1561.47,1144.78,325.10,91.59,91.59,0.00,196.12,1561.47
39571883,512.64,410.15,102.49,0.00,0.00,0.00,71.23,512.64
39573114,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00
39573660,1207.93,917.75,235.12,55.06,55.06,0.00,158.63,1207.93
39573780,1221.88,973.49,248.39,0.00,0.00,0.00,173.98,0.00
39574364,684.08,534.68,138.71,10.69,10.69,0.00,92.40,684.08
39574851,516.32,472.60,43.72,0.00,0.00,0.00,94.52,516.32
39574947,1344.16,1074.69,269.47,0.00,0.00,0.00,197.55,1344.16
39575004,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00
39576255,366.37,316.53,49.84,0.00,0.00,0.00,84.19,366.37
39576318,580.23,454.49,116.65,9.09,9.09,0.00,78.77,580.23
39576480,300.97,260.00,40.97,0.00,0.00,0.00,70.20,300.97
39576546,1129.52,934.50,195.02,0.00,0.00,0.00,133.65,1129.52
39577154,1250.63,1000.43,250.20,0.00,0.00,0.00,179.53,1250.63
39578003,286.83,251.18,35.65,0.00,0.00,0.00,50.23,286.83
39578006,712.92,615.92,97.00,0.00,0.00,0.00,123.18,712.92
39578018,545.58,446.02,99.56,0.00,0.00,0.00,81.49,545.58
39578132,870.23,752.95,117.28,0.00,0.00,0.00,146.85,870.23
39578208,812.44,701.88,110.56,0.00,0.00,0.00,135.68,812.44
39578307,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00
39580071,1730.44,1426.29,304.15,0.00,0.00,0.00,238.52,1730.44
39580986,2031.91,1617.93,413.98,0.00,0.00,0.00,310.01,2031.91
39582102,1576.86,1222.37,281.15,73.34,73.34,0.00,169.17,1576.86
39583595,112.00,102.52,9.48,0.00,0.00,0.00,21.53,112.00
39584616,320.00,276.46,43.54,0.00,0.00,0.00,0.00,320.00
39584748,493.61,427.68,65.93,0.00,0.00,0.00,113.71,493.61
39584994,73.87,67.62,6.25,0.00,0.00,0.00,0.00,73.87
39585569,505.05,380.40,101.82,22.83,22.83,0.00,56.25,505.05
39585642,1179.52,895.69,230.10,53.73,53.73,0.00,113.70,1179.52
39585681,975.07,774.43,200.64,0.00,0.00,0.00,133.16,975.07
39585684,938.45,745.61,192.84,0.00,0.00,0.00,128.26,938.45
39586302,1618.18,1571.04,47.14,0.00,0.00,0.00,117.83,0.00
39587184,458.90,368.05,90.85,0.00,0.00,0.00,64.07,458.90
39587460,268.97,261.14,7.83,0.00,0.00,0.00,19.59,0.00
39588459,1145.40,918.44,226.96,0.00,0.00,0.00,171.03,1145.40
39588744,2402.63,1908.73,493.90,0.00,0.00,0.00,348.63,2402.63
39588962,596.51,476.36,120.15,0.00,0.00,0.00,82.48,596.51
39590745,3370.56,2674.39,696.17,0.00,0.00,0.00,495.32,3370.56
39591525,998.62,748.15,205.58,44.89,44.89,0.00,128.69,998.62
39591860,3951.29,3727.44,223.85,0.00,0.00,0.00,503.62,3951.29
39592148,564.63,442.29,113.49,8.85,8.85,0.00,76.62,564.63
39593453,2713.99,2140.33,573.66,0.00,0.00,0.00,365.70,2713.99
39593594,1121.45,873.69,195.34,52.42,52.42,0.00,124.65,1121.45
39594117,182.17,158.64,23.53,0.00,0.00,0.00,41.01,182.17
39594129,111.46,102.02,9.44,0.00,0.00,0.00,22.96,111.46
39594909,1471.05,1428.20,42.85,0.00,0.00,0.00,107.12,1471.05
39595424,677.07,533.70,127.36,16.01,16.01,0.00,92.57,677.07
39596736,312.23,285.79,26.44,0.00,0.00,0.00,57.16,312.23
39596943,471.40,408.52,62.88,0.00,0.00,0.00,100.48,471.40
