contract_id,splitsingscode_premie,totale_premie,netto_premie,lasten,kosten,splitsingskosten,commissie,totaal_te_betalen,afkoopwaarde_einde_vorigjaar,huidige_stand
33686109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686113,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686117,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686121,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686133,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686137,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686141,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686145,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686153,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686157,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686161,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686165,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686169,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686173,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686177,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686185,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686189,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686193,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686197,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686201,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686205,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686213,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33686217,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
