risico_id,kleur,eigendomstype,aantal_staanplaatsen,btw_vrijstelling,nummerplaattype,specialenummerplaat,inschrijvingsdatum,schrappingsdatum,terra,maxtoegelaten,maxtoegelatentrein,vloot,erkend_antidiefstal,antidiefstal1,antidiefstal2,antidiefstal3,automatic_emergency_braking,adaptive_cruise_control,lane_support,blind_spot_check,attention_assist,ecall,automatic_parking,parking_aid,km_per_jaar,co2_emissie
20714925,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714929,,1,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714933,,1,3,0,,NM,0000-00-00,0000-00-00,0,2005,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714937,,1,5,0,,NM,0000-00-00,0000-00-00,0,2095,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714941,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714945,,1,5,0,,NM,0000-00-00,0000-00-00,0,3500,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714949,,,2,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714957,,1,6,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,
20714961,,1,3,51,,NM,0000-00-00,0000-00-00,0,2600,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714965,,1,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,
20714969,,1,3,0,,NM,0000-00-00,0000-00-00,0,2932,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714973,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714977,,,6,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714981,,,6,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714985,,1,4,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,
20714989,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,1,11,,,0,0,0,0,0,0,0,0,,
20714993,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20714997,,,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715001,,,3,51,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715005,,,2,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715009,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715013,,1,5,0,,,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715017,,1,5,0,,NM,0000-00-00,0000-00-00,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,
20715021,,,4,0,,,0000-00-00,0000-00-00,0,0,0,0,1,,,,0,0,0,0,0,0,0,0,,
