bet_id,soort_vergoeding,waarde,max_periode
137244392,,0,0
137244458,,0,0
137244491,,0,0
137244503,,0,0
137244512,,0,0
137244518,,0,0
137244521,,0,0
137244527,,0,0
137244553,,0,0
137244619,,0,0
137244751,,0,0
137244766,,0,0
137244790,,0,0
137244836,,0,0
137244860,,0,0
137244869,,0,0
137244880,,0,0
137244889,,0,0
137244949,,0,0
137244955,,0,0
137245013,,0,0
137245054,,0,0
137245087,,0,0
137245093,,0,0
137245126,,0,0
137245144,,0,0
137245204,,0,0
137245225,,0,0
137245264,,0,0
137245831,,0,0
137245870,,0,0
137245876,,0,0
137245894,,0,0
137245960,,0,0
137245972,,0,0
137245981,,0,0
137245987,,0,0
137248475,,0,0
137263313,,0,0
137275486,,0,0
137279080,,0,0
137293847,,0,0
137352728,,0,0
137374651,,0,0
137374966,,0,0
137375551,,0,0
137401541,,0,0
137476810,,0,0
137477614,,0,0
137477620,,0,0
137477812,,0,0
137499443,,0,0
137500256,,0,0
137518912,,0,0
137533123,,0,0
137583736,,0,0
137619482,,0,0
137654653,,0,0
137654833,,0,0
137655454,,0,0
137719918,,0,0
137772674,,0,0
137773480,,0,0
137827700,,0,0
137847428,,0,0
137857324,,0,0
137870930,,0,0
137885554,,0,0
137885629,,0,0
137937169,,0,0
137937851,,0,0
137937877,,0,0
137938123,,0,0
137938597,,0,0
137939683,,0,0
137939821,,0,0
137939835,,0,0
137939837,,0,0
137939953,,0,0
137941611,,0,0
137941991,,0,0
137941993,,0,0
137944960,,0,0
137945343,,0,0
137945379,,0,0
137947731,,0,0
137948207,,0,0
137950017,,0,0
137950039,,0,0
137968960,,0,0
137969217,,0,0
137970186,,0,0
137970348,,0,0
137971716,,0,0
137971809,,0,0
137971812,,0,0
137971815,,0,0
137971818,,0,0
137971821,,0,0
137971824,,0,0
137971827,,0,0
137971830,,0,0
137971833,,0,0
137971836,,0,0
137971840,,0,0
137971846,,0,0
137972472,,0,0
137972493,,0,0
137972551,,0,0
137972632,,0,0
137973345,,0,0
137973574,,0,0
137975602,,0,0
137977306,,0,0
137980029,,0,0
137980215,,0,0
137980234,,0,0
137980977,,0,0
137980983,,0,0
137982744,,0,0
137983104,,0,0
137983159,,0,0
137983528,,0,0
137983887,,0,0
137984725,,0,0
137984839,,0,0
137985204,,0,0
137985282,,0,0
137985285,,0,0
137985637,,0,0
137985880,,0,0
137986257,,0,0
137986329,,0,0
137986608,,0,0
137986614,,0,0
137987493,,0,0
137988334,,0,0
137988379,,0,0
137988391,,0,0
137988501,,0,0
137993098,,0,0
137993709,,0,0
137994186,,0,0
137995269,,0,0
137995755,,0,0
137998290,,0,0
137998354,,0,0
137998360,,0,0
137998842,,0,0
137999152,,0,0
137999383,,0,0
138000502,,0,0
138000643,,0,0
138000739,,0,0
138001605,,0,0
138023016,,0,0
138086967,,0,0
138087177,,0,0
138087217,,0,0
138088431,,0,0
138088557,,0,0
138089550,,0,0
138090394,,0,0
138090435,,0,0
138110307,,0,0
138110636,,0,0
138183693,,0,0
138183707,,0,0
138255272,,0,0
138263277,,0,0
138320308,,0,0
138339748,,0,0
