ft_id,fn_id,bet_id,contract_id,schade_id,nummer,datumtijd,plaintext,dropdown
9718691,10424,133002860,,,2024,,,
9718709,10424,126129643,,,2019,,,
9718717,10424,126005837,,,2017,,,
9718725,10424,126005413,,,2023,,,
9718733,10424,136784951,,,,,,
9718741,10424,126004677,,,,,,
9718749,10424,126005805,,,2023,,,
9718757,10424,132224999,,,2023,,,
9718765,10424,137171369,,,2023,,,
9718773,10424,137937847,,,,,,
9718781,10424,126791642,,,2023,,,
9718789,10424,126005773,,,2024,,,
9718797,10424,126111398,,,,,,
9718807,10424,126111397,,,,,,
9718827,10424,137171408,,,2024,,,
9718835,10424,137171453,,,2024,,,
9718843,10424,137171656,,,2024,,,
9718851,10424,137937857,,,,,,
9718859,10424,133162017,,,2020,,,
9718867,10424,136885552,,,2024,,,
9718875,10424,137937859,,,,,,
9718883,10424,137937851,,,2021,,,
9718891,10424,132597402,,,2022,,,
9718909,10424,137171719,,,2024,,,
9718917,10424,137171734,,,,,,
9718925,10424,137171740,,,2025,,,
9718933,10424,127056462,,,2024,,,
9718951,10424,137171752,,,2024,,,
9718959,10424,137171764,,,2024,,,
9718967,10424,137937877,,,,,,
9718975,10424,126693801,,,2024,,,
9718983,10424,129723254,,,2024,,,
9718991,10424,126005777,,,2019,,,
9718999,10424,137244503,,,2024,,,
9719007,10424,126310988,,,2023,,,
9719045,10424,137244512,,,2024,,,
9719053,10424,126005669,,,2017,,,
9719061,10424,137244553,,,2023,,,
9719081,10424,137244527,,,2021,,,
9719101,10424,137244521,,,2024,,,
9719111,10424,126004801,,,2022,,,
9719119,10424,126005561,,,2024,,,
9719127,10424,129401760,,,2024,,,
9719135,10424,137031862,,,,,,
9719143,10424,126004637,,,2018,,,
9719151,10424,137244458,,,2024,,,
9719159,10424,137245144,,,2024,,,
9719167,10424,132600290,,,2023,,,
9719175,10424,137038102,,,2024,,,
9719185,10424,137244392,,,2023,,,
9719193,10424,126329347,,,2023,,,
9719201,10424,134324398,,,2023,,,
9719209,10424,126131584,,,2024,,,
9719247,10424,137172244,,,2024,,,
9719257,10424,137172238,,,2024,,,
9719267,10424,137172226,,,2022,,,
9719275,10424,133781511,,,2023,,,
9719283,10424,128858666,,,2024,,,
9719291,10424,137172215,,,2024,,,
9719299,10424,132604667,,,2019,,,
9719317,10424,126004657,,,2023,,,
9719325,10424,126120281,,,2024,,,
9719343,10424,137244751,,,2024,,,
9719351,10424,137244766,,,2020,,,
9719359,10424,135077225,,,,,,
9719369,10424,126005549,,,2023,,,
9719377,10424,126005765,,,,,,
9719385,10424,135353689,,,,,,
9719393,10424,126005877,,,2020,,,
9719401,10424,126008884,,,2024,,,
9719409,10424,137244790,,,2024,,,
9719417,10424,137244836,,,2024,,,
9719425,10424,137244860,,,2024,,,
9719433,10424,137244869,,,2020,,,
9719445,10424,126005569,,,2018,,,
9719465,10424,137244880,,,2024,,,
9719473,10424,126004621,,,2024,,,
9719481,10424,126713261,,,2024,,,
9719585,10424,137938061,,,,,,
9720691,10424,137938825,,,,,,
9721175,10424,137015428,,,,,,
9721183,10424,137015425,,,,,,
9721765,10424,137939683,,,,,,
9721787,10424,126005373,,,,,,
9721827,10424,136885546,,,,,,
9721835,10424,136885597,,,,,,
9721977,10424,126005125,,,,,,
9721991,10424,137939821,,,2024,,,
9722015,10424,137939827,,,,,,
9722087,10424,137939835,,,,,,
9722095,10424,137939837,,,2023,,,
9723793,10424,126005501,,,2024,,,
9723805,10424,137244955,,,2022,,,
9723821,10424,137245013,,,2024,,,
9723829,10424,126025579,,,,,,
9723847,10424,130221719,,,2023,,,
9723859,10424,137245054,,,2024,,,
9723871,10424,126203819,,,2024,,,
9723881,10424,137245225,,,,,,
9723889,10424,137152150,,,,,,
9723897,10424,137245087,,,,,,
9723905,10424,137245093,,,2024,,,
9723913,10424,133170477,,,2020,,,
9723921,10424,126004785,,,2024,,,
9723929,10424,126132574,,,2024,,,
9723937,10424,126004905,,,2024,,,
9723947,10424,126046009,,,2024,,,
9723955,10424,130564850,,,2021,,,
9723965,10424,129385854,,,2023,,,
9723991,10424,137245870,,,2022,,,
9723999,10424,135257434,,,2024,,,
9724009,10424,137245876,,,2024,,,
9724025,10424,137245894,,,,,,
9724033,10424,135001250,,,2024,,,
9724049,10424,126005469,,,2019,,,
9724057,10424,126047553,,,,,,
9724075,10424,137245960,,,2023,,,
9724085,10424,126004665,,,,,,
9724103,10424,127057410,,,2019,,,
9724111,10424,126004441,,,2019,,,
9724119,10424,126133684,,,,,,
9724127,10424,126005529,,,2021,,,
9724135,10424,136347677,,,2024,,,
9724143,10424,137245981,,,2024,,,
9724153,10424,132601448,,,2022,,,
9724161,10424,137245987,,,2024,,,
9724171,10424,126005861,,,,,,
9724195,10424,136887523,,,,,,
9725515,10424,126004945,,,,,,
9727531,10424,136349627,,,,,,
9727547,10424,137583736,,,2024,,,
9727559,10424,137939953,,,2024,,,
