schadecontract_id,schade_id,contract_id,risico_id,blockretours_id,contract_bijvoegsel_id
13229451,113299512,35616993,,,
13239873,113310828,33710112,,62204981,
13249965,113321691,36176855,,,
13250208,113321934,33710112,,,
13251232,113323024,33685929,,52213796,
13251933,113323749,35946437,,59699656,
13252969,113324758,34213475,,,
13253688,113325468,33724828,,,
13253844,113325636,36493950,,,
13254219,113325993,33849002,,,
13254900,113326698,36973789,,,
13254933,113326728,33685765,,,
13278858,113326728,33685761,,68340454,
13265212,113337799,34588136,,,
13265523,113338137,33685045,,,
13275336,113348790,35616954,,,
13276152,113349597,36866764,,,
13276548,113350059,37914495,,,
13277386,113350867,36845320,,65329061,
13279569,113353119,36920314,,,
13289493,113363844,35851265,,66568851,
13299327,113374491,33685693,,,
13310343,113386314,36153749,,,
13310574,113386536,37145707,,,
13311456,113387373,34601597,,,
13311757,113387650,37145707,,,
13311844,113387749,35986518,,,
13311984,113387892,36477494,,,
13312716,113388612,33685909,,52243715,
13314180,113390133,35636990,,,
13318404,113394423,34560840,,,
13318407,113394426,35935362,,60622467,
13318435,113394460,35929233,,,
13319586,113394570,35636990,,,
13319613,113395680,36484749,,,
13321662,113397867,33686161,,,
13321857,113398059,36893761,,,
13322432,113398676,35832250,,,
13322628,113398874,36749905,,,
13322922,113399184,36832297,,,
13324527,113400792,33936070,,,
13325385,113401728,33685845,,,
13325546,113401883,36721111,,,
13326002,113402366,36065360,,,
13328313,113404716,36850529,,,
13330122,113406615,36697016,,,
13330170,113406669,36897685,,,
13330212,113406714,36715058,,,
13331139,113407665,33685841,,,
13331762,113408339,33688356,,,
13333167,113409708,33688356,,68609702,
13644810,113409708,33846187,,74160288,
13333607,113410190,38229600,,,
13333818,113410389,36008210,,64279684,
13334328,113410944,37030426,,,
13334430,113411055,33684913,,,
13334715,113411337,33769996,,,
13334964,113411604,36737566,,,
13335167,113411810,34213475,,,
13335227,113411885,38253540,,,
13336080,113412777,35929233,,,
13338125,113414945,38215390,,,
13338141,113414964,36100373,,,
