waarborg_id,uitkeringsdatum_kapitaal_leven,datum_waardering_reserve,fiscaliteit_levensverzekeringspremie,fiscaal_regime_vd_prestaties,oorsprong_der_premiebetaling,contract_genereert_winstdeelname,contract_onderhevig_aan_perequatie,onderworpenheid_vd_prestatie,voorschot_op_polis,kapitaal_bij_leven,kapitaal_bij_overlijden,verworven_winstdeelname_bij_leven,verworven_winstdeelname_bij_overlijde,toekenning_winstdeelname_vh_jaar,waarde_vd_reserve,type_std_begunstigde_bij_leven,begunstigde_std_heeft_contractvdl_aanv_bleven,type_std_begunstigde_bij_overlijde,begunstigde_std_heeft_contractvdl_aanv_boverlijde,jaarlijkse_rente_levensv,gewaarborgde_rentevoet_leven,kapitaal
94911032,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
94913282,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94913285,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94913288,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
94913936,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95035733,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95035736,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95035739,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95035742,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95042522,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95042525,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95042528,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95042531,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95076428,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95076431,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95076434,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95076437,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95171992,2048-01-01,0000-00-00,,,01,0,0,0,0,0.00,205000.00,0.00,0.00,0.00,0.00,,0,7,0,0.00,0.00,0.00
95173292,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,50000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95173301,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,5000.00
95173343,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,50000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95173352,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,5000.00
95175907,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,50000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95175916,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,5000.00
95175925,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,50000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95175934,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,5000.00
95193119,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95193122,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95193125,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95193128,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95242801,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95242804,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
95242807,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95377039,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95377042,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
95377045,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95377321,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95377324,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
95377327,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95449751,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95449754,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
95449757,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
95450990,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,5150.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95450996,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2575.00
95531936,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95531939,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95531942,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95601884,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
95601887,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
96310087,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
96697361,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
96697364,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
96697367,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
96758446,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
96758449,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
96758452,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
96758455,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
96883706,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
