waarborg_id,bm_toegepast,bm_referte,bm_vorige
95062526,-2,-2,
95085338,-2,,-2
95085359,-2,-2,
95085692,-2,-2,
95098508,-2,,-2
95102024,-2,,-2
95102030,0,,0
95102045,0,,0
95114936,3,,
95129123,0,,0
95130787,-2,,-2
95166937,-2,,-2
95166946,0,,0
95214371,-2,,
95214377,0,,
95221454,6,,5
95241383,6,,6
95242340,-2,-2,
95242565,-2,-2,
95242592,-2,-2,
95242619,-2,-2,
95243582,0,,0
95243588,0,,0
95287067,1,,1
95291961,-2,-2,
95300570,-2,,-2
95301839,-2,,
95310796,-1,,-1
95316874,-2,,
95322839,6,,
95322845,3,,
95324183,-2,,
95324189,0,,
95324198,-2,-2,
95341565,-2,,-2
95380219,-2,,-2
95380225,0,,0
95386388,-2,-2,
95396099,-2,,-2
95396105,0,,0
95396284,-2,,-2
95396290,0,,0
95396299,-2,,-2
95396305,0,,0
95396329,6,,6
95396359,5,,5
95396365,3,,3
95396374,-2,,-2
95396380,0,,0
95396452,4,,4
95396458,1,,1
95396503,-2,,-2
95396509,0,,0
95396545,0,,0
95396551,0,,0
95418215,-2,,-2
95418221,0,,
95446456,-2,-2,
95449718,-2,,-2
95449724,0,,
95453171,-2,,-2
95453177,0,,0
95460965,-2,-2,
95468813,10,10,
95473204,-2,,-2
95473210,0,,0
95480369,-2,,-2
95502805,-2,-2,
95503045,-2,-2,
95503199,5,5,
95514200,-2,-2,
95514206,-2,-2,
95526890,10,10,
95526935,11,11,
95551061,4,,
95551097,2,2,
95553448,7,,
95581352,4,,4
95581358,1,,1
95593676,2,,2
95601797,0,0,
95612990,4,,4
95614957,-2,-2,
95615116,2,2,
95624009,-1,-1,
95625808,-2,,-2
95625817,0,,0
95638369,0,,0
95659996,-2,-2,
95671150,0,,0
95671181,0,,0
95704109,-2,-2,
95706095,-2,-2,
95728994,11,11,
95742698,-2,-2,
95743654,11,11,
95752987,11,11,
95753258,-2,-2,
95787385,0,,0
95791106,5,,
95829317,-2,,
95829320,-2,,
95829323,-2,,
95837689,3,,3
95847446,-2,,-2
95862686,3,,3
95887028,6,,
95887090,6,,
95887132,-2,-2,
95891819,6,,6
95936797,11,11,
95942993,9,9,
95964824,11,11,
95973667,11,,
95982962,11,,11
95998063,-1,-1,
95998160,6,6,6
95998163,6,6,6
95998166,6,6,6
95998277,11,11,
96011419,-2,,-2
96011425,0,,0
96018611,8,,8
96019465,0,,0
96021187,8,,8
96077489,-2,-2,
96113872,11,11,11
96113875,11,11,11
96113878,11,11,11
96113881,11,11,11
96113884,11,11,11
96113887,11,11,11
96113890,11,11,11
96113893,11,11,11
96113896,2,2,2
96113899,2,2,2
96113902,2,2,2
96113905,2,2,2
96113908,2,2,2
96114007,-1,-1,
96115942,-1,-1,
96117916,-2,,
96119180,-2,,-2
96119186,0,,0
96123406,4,,4
96123412,1,,1
96130406,-2,-2,
96142804,5,5,
96143341,5,5,
96143380,6,6,
96143416,5,5,
96266224,6,6,
96267128,-1,-1,
96283540,-2,-2,
96286778,-2,,-2
96286784,0,,0
96286799,-2,,-2
96286811,-2,,-2
96293959,-2,-2,
96312844,-2,,-2
96314495,6,6,
96347066,-2,,
96351125,-2,,
96351338,4,4,
96351671,-2,-2,
96364342,6,6,
96395627,3,3,
96402941,-2,-2,
96405476,6,,6
96414482,2,2,
96445850,4,,4
96449546,0,,
96457712,-2,-2,
96484873,6,6,
96494164,6,6,
96495961,-2,-2,
96527068,-2,-2,
96527083,-2,-2,
96536129,-2,-2,
96551333,-2,-2,
96560039,0,0,
96578647,-2,-2,
96589187,4,,
96589193,1,,
96592255,6,6,
96599108,8,,8
96611045,-1,-1,
96614371,-2,-2,
96616481,8,,8
96637474,11,11,
96697505,2,,6
96697613,1,,1
96714881,0,0,
96750916,5,,
96750925,6,,6
96762818,9,9,
96762854,-2,-2,
96764723,4,4,
96771320,2,2,
96771350,-1,-1,
96771359,2,2,
96771392,4,4,
96771440,-1,-1,
96772547,11,,11
96772553,11,,11
96813217,0,,
96823253,-2,-2,
96827860,2,2,2
96827863,2,2,2
96827866,2,2,2
96827869,2,2,2
96827872,2,2,2
96827875,2,2,2
96828716,4,4,
96828992,-2,-2,
96845455,10,10,
96883496,1,,1
96883750,-2,,-2
96883835,10,10,
96889574,3,,3
96889580,0,,0
96890086,1,,1
96890092,0,,
96890372,8,8,
96890393,0,0,
96890432,0,0,
96894898,-2,-2,
96908557,11,11,
96910523,-2,,-2
96914911,-2,-2,
96915290,4,4,
96917729,4,4,
96917888,-2,,-2
96929450,-2,-2,
96940219,1,,1
96940225,0,,0
96943394,-2,,-2
96959153,-2,-2,
96959179,4,4,
96964333,0,,0
96972359,-2,-2,
96975457,-2,,-2
96991450,0,,
96993571,-2,-2,
97003781,0,,
97005425,0,,0
97012638,-1,-1,
97051341,5,,5
97051347,3,,3
97063130,11,11,
97064220,-2,-2,
97064262,-2,-2,
97068870,-2,-2,
97072334,8,,
