schade_id,address_id,omstandigheden,omstandigheden_code,aansprakelijkheid,aansprakelijkheid_percent,materiele_schade,lichamelijke_schade,getuigen,schade_verzekerde,schade_derde
111271696,,"FF: Bar 10",219,1,0,0,0,0,0.00,0.00
111313960,39982453,,521,1,0,0,0,0,0.00,0.00
111319904,40030706,,998,1,0,0,0,0,0.00,0.00
111320751,,,357,3,0,0,0,0,0.00,0.00
111320755,,,0,,0,0,0,0,0.00,0.00
111358649,40024934,,357,3,0,0,0,0,0.00,0.00
111365357,,,0,,0,0,0,0,0.00,0.00
111366572,,,0,,0,0,0,0,0.00,0.00
111367769,,,0,,0,0,0,0,0.00,0.00
111374662,40037494,,0,,0,0,0,0,0.00,0.00
111395216,40052948,"Zichtbaar lek aan de collectorenPack w&a+",0,,0,0,0,0,0.00,0.00
111444040,,,501,1,0,0,0,0,0.00,0.00
111445742,40189172,,998,1,0,0,0,0,0.00,0.00
111455221,,"Verkeer in éénzelfde file. Y rijdt X achteraan aan.Klant botste op achterzijde stilstaande tegenpartij",0,1,0,0,0,0,0.00,0.00
111456811,,"eigen schade vzn",0,3,0,0,0,0,0.00,0.00
111467711,,,0,,0,0,0,0,0.00,0.00
111468365,,"Lange Schipstraat 88-90 schade door werken CTN (NIET AANGEGEVEN)",0,,0,0,0,0,0.00,0.00
111503075,40128862,"Schade aan inhoud - koelkasten, diepvriezen,..(Huurder-uitb-nt.bew)",0,,0,0,0,0,0.00,0.00
111503924,,"waterschade door onweer",0,,0,0,0,0,0.00,0.00
111516381,,,0,3,0,0,0,0,0.00,0.00
111524203,40197806,,516,3,0,0,0,0,0.00,0.00
111544927,40226531,,521,1,0,0,0,0,0.00,0.00
111545017,,,501,1,0,0,0,0,0.00,0.00
111577639,42908224,"Ongeval in Duitsland - oms niet gekend ?? volgens vn kettingbotsing",219,1,0,0,0,0,0.00,0.00
111606881,,"Euromex Rechtsbijstand --- Garage aanklagen",0,,0,0,0,0,0.00,0.00
111616717,,,536,1,0,0,0,0,0.00,0.00
111617827,,"Verzekerde botst op achterzijde tegenpartij --- Binnenring Antwerpen",501,1,0,0,0,0,0.00,0.00
111655687,,,357,3,0,0,0,0,0.00,0.00
